,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,STUDENT ID
0,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,1,0,0,0,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6,0
1,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,0,1,0,0,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,1
2,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,1,0,1,0,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10,2
3,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,0,1,1,1,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,3
4,GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,0,1,1,0,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10,4
5,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,0,1,1,1,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15,5
6,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,0,0,0,0,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11,6
7,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,1,1,0,0,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,7
8,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,0,1,1,0,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19,8
9,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,0,1,1,1,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15,9
10,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,1,0,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9,10
11,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,0,1,0,1,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,11
12,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,0,1,1,1,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14,12
13,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,0,1,1,0,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11,13
14,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,0,1,0,0,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,14
15,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,0,1,0,0,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,15
16,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,0,1,1,1,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,16
17,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,1,1,0,1,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,17
18,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,0,1,0,1,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,18
19,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,0,0,1,1,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,19
20,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,0,0,0,0,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,20
21,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,0,1,1,0,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,21
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,22
23,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,0,1,0,1,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,23
24,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,1,1,1,1,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,24
25,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,0,1,1,0,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8,25
26,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,0,1,1,0,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11,26
27,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,0,0,1,0,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15,27
28,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,1,1,0,1,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11,28
29,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,0,1,1,1,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,29
30,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,0,1,1,0,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,30
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,31
32,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,32
33,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,0,0,0,1,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12,33
34,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,0,1,1,0,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15,34
35,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,0,1,0,1,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,35
36,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,0,1,0,1,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,36
37,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,0,1,0,1,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,37
38,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,1,1,1,1,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,38
39,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,1,1,1,1,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13,39
40,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,0,1,0,1,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,40
41,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,0,1,0,0,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,41
42,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,0,1,0,1,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,42
43,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,1,1,0,0,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,43
44,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,1,0,0,1,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,44
45,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,1,1,1,1,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,45
46,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,0,1,0,0,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,46
47,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,0,0,0,1,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,47
48,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,0,1,1,0,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14,48
49,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,1,1,0,1,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,49
50,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,0,1,1,0,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13,50
51,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,0,1,1,0,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13,51
52,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,0,0,0,0,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10,52
53,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,1,1,1,0,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11,53
54,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,0,0,1,0,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13,54
55,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,0,0,1,1,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,55
56,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,0,1,1,1,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,56
57,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,1,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,57
58,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,1,1,0,1,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,58
59,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,0,1,0,0,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16,59
60,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,0,1,0,1,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,60
61,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,1,1,0,1,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,61
62,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,1,0,0,1,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,62
63,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,1,1,1,1,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,63
64,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,1,0,0,1,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,64
65,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15,65
66,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,0,1,0,1,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12,66
67,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,1,1,1,0,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,6,67
68,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,1,1,1,0,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8,68
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,0,1,0,0,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16,69
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,0,1,1,0,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15,70
71,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,0,0,0,0,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10,71
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,1,1,0,0,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5,72
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14,73
74,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,1,1,1,1,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11,74
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10,75
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,0,0,0,1,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10,76
77,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,0,0,1,0,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,77
78,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,1,1,0,1,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10,78
79,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,0,1,0,0,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5,79
80,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,1,1,1,1,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12,80
81,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,1,0,1,0,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11,81
82,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,0,1,1,0,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6,82
83,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,0,0,1,1,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15,83
84,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,0,1,0,1,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10,84
85,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,0,0,1,0,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8,85
86,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,0,1,0,0,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6,86
87,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,0,1,0,1,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14,87
88,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,0,0,1,1,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10,88
89,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7,89
90,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,0,1,1,0,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,90
91,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,0,0,1,1,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18,91
92,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,1,1,0,0,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6,92
93,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,0,1,1,1,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,93
94,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,0,1,0,1,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14,94
95,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,1,1,1,1,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,95
96,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,1,1,0,1,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15,96
97,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,0,1,1,0,yes,yes,no,yes,4,3,5,1,1,5,2,8,9,10,97
98,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,0,0,0,1,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14,98
99,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,1,1,1,0,yes,yes,yes,no,5,3,5,1,1,3,0,7,9,8,99
100,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,1,1,1,1,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5,100
101,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,0,1,0,1,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17,101
102,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,0,1,0,1,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14,102
103,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,1,1,1,0,yes,yes,yes,no,4,3,5,1,1,2,26,7,6,6,103
104,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,0,1,1,1,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18,104
105,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,1,0,0,0,yes,yes,no,no,4,3,3,1,1,4,10,10,11,11,105
106,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,1,1,1,0,yes,yes,yes,no,5,1,2,1,1,3,8,7,8,8,106
107,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,0,1,0,1,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,18,107
108,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,0,1,1,1,yes,yes,yes,yes,1,3,5,3,5,1,6,10,13,13,108
109,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,0,1,1,1,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16,109
110,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,0,0,0,1,yes,yes,yes,no,5,5,3,1,1,4,6,18,19,19,110
111,GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,1,1,0,1,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10,111
112,GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,1,0,0,1,yes,yes,yes,no,3,1,2,1,1,5,6,10,13,13,112
113,GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,0,0,0,0,yes,yes,yes,no,3,5,2,1,1,3,10,18,19,19,113
114,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,0,0,0,1,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9,114
115,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,0,1,0,1,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16,115
116,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,0,1,0,1,yes,yes,no,no,4,4,3,1,1,2,2,11,13,14,116
117,GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,0,0,0,1,yes,yes,yes,no,5,4,2,1,1,5,0,13,14,13,117
118,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,0,1,0,1,yes,yes,yes,no,5,2,4,1,4,5,20,9,7,8,118
119,GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,0,0,0,0,yes,yes,yes,no,3,4,3,1,2,4,6,14,13,13,119
120,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,0,0,0,0,no,yes,yes,no,3,2,3,1,2,1,2,16,15,15,120
121,GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,0,1,1,1,yes,yes,yes,no,5,5,4,1,2,5,6,16,14,15,121
122,GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,0,1,1,1,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13,122
123,GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,0,1,0,1,yes,yes,yes,no,3,4,4,1,4,5,18,14,11,13,123
124,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,0,0,1,0,yes,yes,yes,yes,5,4,4,1,1,5,0,8,7,8,124
125,GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,1,0,0,0,yes,yes,yes,no,5,5,5,3,2,5,0,13,13,12,125
126,GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,1,0,0,1,yes,yes,yes,yes,5,3,2,1,1,1,0,7,10,11,126
127,GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,3,0,1,0,0,no,no,no,no,3,4,2,1,1,5,2,7,8,9,127
128,GP,M,18,R,GT3,T,2,2,services,other,reputation,mother,1,1,2,0,1,0,1,yes,yes,yes,no,3,3,3,1,2,4,0,7,4,0,128
129,GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,0,0,1,1,yes,yes,yes,no,3,5,5,2,5,4,8,18,18,18,129
130,GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,2,0,1,0,0,yes,yes,yes,yes,4,2,2,2,2,5,0,12,0,0,130
